iter	Passed	Remaining
0	3	317
1	7	349
2	11	366
3	15	371
4	19	373
5	23	372
6	26	356
7	29	339
8	31	318
9	33	303
10	35	287
11	37	273
12	38	260
13	40	247
14	41	235
15	42	225
16	44	215
17	45	206
18	46	198
19	47	190
20	48	183
21	49	176
22	51	170
23	52	164
24	53	159
25	54	153
26	55	148
27	56	144
28	56	139
29	57	135
30	58	131
31	59	127
32	60	123
33	61	119
34	62	116
35	63	113
36	64	109
37	65	106
38	66	103
39	67	101
40	68	98
41	69	95
42	70	93
43	70	90
44	71	87
45	72	85
46	73	83
47	74	81
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	81	66
55	82	64
56	83	63
57	84	61
58	85	59
59	86	57
60	87	55
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	93	45
67	94	44
68	94	42
69	95	41
70	96	39
71	97	37
72	98	36
73	99	34
74	100	33
75	101	32
76	102	30
77	103	29
78	104	27
79	104	26
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	123	0
