iter	Passed	Remaining
0	146	146116
1	152	75984
2	156	52166
3	162	40416
4	168	33485
5	172	28592
6	175	24827
7	177	21978
8	179	19794
9	181	17994
10	183	16509
11	185	15294
12	187	14216
13	188	13288
14	190	12493
15	191	11796
16	193	11162
17	194	10598
18	195	10099
19	196	9643
20	198	9236
21	199	8858
22	200	8512
23	201	8195
24	202	7902
25	203	7628
26	204	7375
27	205	7138
28	206	6919
29	207	6714
30	208	6522
31	209	6342
32	210	6174
33	211	6014
34	212	5863
35	213	5719
36	214	5584
37	215	5460
38	216	5337
39	217	5220
40	218	5115
41	219	5010
42	220	4910
43	221	4820
44	222	4727
45	223	4644
46	225	4562
47	225	4479
48	227	4407
49	228	4332
50	228	4257
51	229	4186
52	230	4122
53	231	4058
54	232	3999
55	233	3942
56	234	3883
57	235	3826
58	239	3823
59	243	3819
60	248	3824
61	254	3851
62	260	3878
63	264	3868
64	267	3852
65	270	3828
66	273	3808
67	276	3785
68	278	3753
69	280	3721
70	282	3699
71	285	3678
72	290	3685
73	291	3651
74	293	3615
75	294	3582
76	295	3545
77	296	3510
78	298	3477
79	299	3444
80	301	3415
81	302	3385
82	302	3347
83	304	3316
84	305	3286
85	306	3257
86	307	3227
87	308	3197
88	309	3168
89	310	3139
90	311	3110
91	312	3083
92	313	3056
93	314	3030
94	315	3004
95	316	2980
96	317	2954
97	318	2930
98	319	2905
99	320	2883
100	321	2859
101	322	2835
102	323	2814
103	324	2791
104	324	2769
105	326	2750
106	327	2729
107	327	2708
108	328	2688
109	330	2670
110	331	2651
111	332	2632
112	332	2612
113	333	2595
114	334	2576
115	335	2558
116	336	2540
117	337	2523
118	338	2505
119	339	2488
120	340	2472
121	341	2455
122	342	2439
123	343	2424
124	344	2409
125	345	2395
126	346	2379
127	347	2366
128	348	2352
129	349	2339
130	350	2324
131	351	2311
132	352	2298
133	353	2285
134	354	2272
135	355	2260
136	356	2247
137	357	2234
138	358	2222
139	359	2210
140	361	2199
141	361	2187
142	363	2175
143	364	2164
144	365	2152
145	366	2141
146	369	2145
147	370	2134
148	371	2124
149	373	2114
150	374	2106
151	375	2095
152	376	2085
153	377	2075
154	378	2065
155	380	2056
156	381	2047
157	382	2038
158	383	2029
159	384	2020
160	385	2010
161	386	2001
162	387	1992
163	388	1982
164	390	1973
165	391	1965
166	392	1956
167	393	1948
168	394	1939
169	395	1931
170	396	1922
171	399	1922
172	400	1913
173	401	1905
174	402	1897
175	403	1889
176	404	1881
177	405	1874
178	407	1866
179	408	1859
180	409	1851
181	415	1866
182	416	1861
183	418	1855
184	420	1851
185	422	1847
186	424	1845
187	426	1840
188	427	1833
189	430	1835
190	431	1829
191	433	1822
192	434	1816
193	436	1813
194	437	1807
195	439	1802
196	440	1796
197	443	1797
198	445	1792
199	446	1786
200	447	1780
201	449	1774
202	450	1768
203	451	1763
204	453	1757
205	454	1750
206	457	1750
207	458	1745
208	459	1739
209	460	1732
210	461	1727
211	463	1721
212	464	1717
213	465	1711
214	467	1705
215	468	1699
216	469	1695
217	470	1688
218	472	1685
219	473	1680
220	475	1674
221	476	1668
222	477	1662
223	478	1658
224	479	1653
225	481	1647
226	482	1642
227	483	1636
228	484	1631
229	485	1625
230	488	1625
231	489	1619
232	490	1613
233	491	1608
234	492	1603
235	494	1599
236	495	1594
237	496	1588
238	497	1583
239	498	1579
240	499	1574
241	501	1569
242	502	1564
243	503	1558
244	504	1554
245	507	1555
246	508	1550
247	509	1545
248	511	1542
249	512	1537
250	513	1532
251	514	1528
252	515	1523
253	517	1518
254	520	1519
255	521	1514
256	522	1509
257	524	1507
258	525	1503
259	526	1499
260	527	1494
261	529	1490
262	530	1485
263	531	1481
264	532	1478
265	533	1473
266	534	1468
267	535	1463
268	537	1459
269	537	1454
270	539	1452
271	541	1447
272	542	1443
273	543	1439
274	544	1434
275	545	1431
276	547	1428
277	548	1424
278	549	1420
279	550	1416
280	552	1412
281	553	1410
282	554	1405
283	556	1401
284	557	1397
285	558	1393
286	559	1389
287	560	1385
288	561	1381
289	562	1377
290	563	1373
291	564	1369
292	567	1368
293	568	1364
294	569	1360
295	570	1357
296	571	1353
297	573	1350
298	574	1346
299	575	1342
300	576	1339
301	577	1335
302	579	1332
303	580	1328
304	581	1325
305	582	1321
306	583	1317
307	584	1313
308	585	1309
309	586	1306
310	587	1302
311	590	1302
312	591	1298
313	592	1295
314	594	1291
315	595	1288
316	596	1284
317	597	1280
318	598	1276
319	599	1272
320	599	1269
321	601	1265
322	602	1262
323	603	1259
324	604	1255
325	605	1252
326	611	1257
327	615	1261
328	622	1269
329	630	1279
330	635	1284
331	640	1288
332	644	1291
333	649	1295
334	659	1308
335	665	1315
336	668	1315
337	671	1315
338	673	1313
339	675	1311
340	680	1314
341	682	1313
342	684	1311
343	686	1308
344	687	1305
345	689	1302
346	690	1299
347	692	1297
348	693	1293
349	694	1290
350	695	1286
351	697	1283
352	698	1280
353	699	1276
354	700	1273
355	701	1269
356	702	1265
357	703	1262
358	705	1258
359	706	1255
360	707	1251
361	708	1248
362	709	1244
363	710	1240
364	711	1237
365	712	1233
366	713	1229
367	714	1226
368	715	1222
369	715	1219
370	716	1215
371	717	1211
372	718	1208
373	719	1204
374	720	1201
375	721	1197
